sample_size,opt_gen_error
157,4.828866715607611
158,4.914587696599602
159,4.977388532323949
160,5.01060196455016
161,4.694932582418619
162,4.738835286157278
163,4.743297127521968
164,4.747741470255713
165,4.755996143285723
166,4.6425663739732395
167,4.638936204173283
168,4.611847795316716
169,4.6140701393151335
170,5.261505958656133
171,5.5815597938636765
172,5.606684840930305
173,5.622009974941605
174,5.590206529413165
175,5.78623922747772
176,5.730317789253155
177,4.3897105908160325
178,5.356752764860682
179,5.366744022357832
180,3.4409796198513525
181,3.383306673462627
182,3.4247209247490953
183,3.3538144653062307
184,4.211678157066292
185,4.214018631344526
186,4.171960984538244
187,4.329757371096679
188,4.299749344214296
189,3.4329155455186977
190,3.3637584848818207
191,3.2786681887309808
192,3.276390945656411
193,3.152111900433928
194,3.8896658188367743
195,3.8829282749292346
196,3.9472173742198122
197,3.87388938522558
198,3.9457580223710758
199,3.420580713557174
200,3.5400006832687088
201,3.2570634464338597
202,2.5768060345835777
203,2.4225600782653394
204,2.4187702766673858
205,2.367873764837199
206,2.2982027783122962
207,2.2286460093609897
208,2.416870855600323
209,2.487037324986101
210,2.512286278748306
211,2.524938770423758
212,2.722522646391145
213,3.624091864090308
214,3.6163053588298877
215,3.689956908034564
216,3.6965588108682437
217,3.934621017880234
218,3.903023959635173
219,4.047071553747903
220,4.106537027463946
221,4.086653908764954
222,4.114086552597792
223,4.071965986533325
224,4.032531495318064
225,4.277507457918165
226,4.276795642865899
227,4.311054876760636
228,4.313582385807078
229,4.391695551210429
230,4.372988114415679
231,4.396390523129862
232,4.444066831023847
233,4.46972988329081
234,4.4940927176882015
235,4.440680203911042
236,4.422635529716523
237,4.413832700524351
238,4.37381291107429
239,4.305021546016831
240,4.293454511425187
241,4.292150760566421
242,4.254728721402011
243,4.14640600728019
244,4.222264552042428
245,4.220962587822915
246,4.219875243327447
247,4.226943451753203
248,4.278053111904039
249,4.281301130652786
250,4.298342583320816
251,4.303410831428362
252,4.367157492198647
253,4.309348885091188
254,4.239803746661782
255,4.23602754279851
256,4.252478041281393
257,4.098615469932033
258,4.24210702573729
259,4.318579353927533
260,4.139279250246576
261,4.162279755213944
262,4.161281834765843
263,4.269009001992157
264,4.258684115922665
265,4.2555114281776305
266,4.222672487281833
267,4.225233700318447
268,4.218136973880468
269,4.063975411625446
270,4.036236460520214
271,4.001694489487243
272,3.999960649455448
273,4.074501545439349
274,4.0807780984992705
275,4.0688216395713415
276,4.067915940332857
277,4.118058655779667
278,4.148462567102174
279,4.041114262894051
280,2.5359335037434896
281,2.5256024391601892
282,2.513546674950226
283,2.520521342870238
284,2.53054943266657
285,2.3700014127173037
286,2.4374625668081187
287,2.423427606322211
288,2.4244106566729102
289,2.420840373550421
290,2.499792126654398
291,2.489454183111481
292,2.4880903977052133
293,2.6430123626845257
294,2.620523555805045
295,2.6447034007587287
296,2.645830877349277
297,3.252987076542929
298,3.2478545149259346
299,3.28445851471005
300,3.2278033887466417
301,3.374011694647332
302,3.449060798128001
303,3.4385243724837324
304,3.426421795471922
305,3.4923586861380884
306,3.4759761085428553
307,3.5132488944298035
308,3.529777900864825
309,3.5674179148260365
310,3.5371735231019548
311,3.5267681018240613
312,3.507381565889309
313,3.563029273953665
314,3.542402052961957
315,3.5398309053946613
316,3.55108269334246
317,3.3738977828621586
318,1.404743330275633
319,1.379759750410985
320,1.4147837456280206
321,1.4383115358004859
322,1.6584895364597712
323,1.6712998872888722
324,1.7040047322040792
325,1.6601359842360937
326,1.7067534919408571
327,1.7500025223904736
328,1.7618147699446407
329,1.7638668267606652
330,1.764654314142542
331,1.8429633932369445
332,1.2900795062017638
333,1.415937303510642
334,3.264531113181848
335,3.262896245138159
336,3.2658173424688184
337,3.202344708665832
338,3.2014812472276817
339,3.1485781513845947
340,3.155143167325524
341,3.1494399467716763
342,3.1479251313440817
343,3.1434717669509067
344,3.1426611184646056
345,3.1553587270385033
346,3.175281873151945
347,3.18471841137479
348,3.1809280810410767
349,3.1931580237392465
350,3.1525796298652136
351,3.1510314634357783
352,3.149234267927675
353,3.157665134968281
354,3.1537371145982545
355,3.100717892403758
356,3.0937474655101225
357,3.0949037876140837
358,3.142165299825773
359,3.1439337764072115
360,3.184685710208148
361,3.161498720101254
362,3.1672476462900367
363,0.462762273479125
364,0.4631389378173525
365,0.5091440511048947
366,0.5083068344833602
367,0.5061921650882784
368,0.5092273116099651
369,3.200478424061657
370,3.19247242596132
371,3.174895589132072
372,3.197655148089679
373,3.204696784923339
374,3.1682703929097937
375,3.1595770218473938
376,3.163567213959161
377,3.154369611238197
378,3.1340126365891012
379,3.1506150733841745
380,3.150252247417974
381,3.2157605985994393
382,3.215834462750899
383,3.222776882033582
384,3.221093572273623
385,3.2062617439639
386,3.2059534168675166
387,3.1886403908207264
388,3.183266214526632
389,3.240200484233286
390,3.23868957440367
391,3.2387625765836665
392,0.45306173191862165
393,0.44031242198144327
394,0.4243187200838187
395,0.4348917048934614
396,0.43438594246826817
397,0.43424551942097667
398,0.4471375684909701
399,0.4312918100520541
400,0.42157167542673035
401,0.42788336604486693
402,0.42582705195757464
403,0.3958240433866198
404,0.4076878532633079
405,0.3984588893672732
406,0.3156262761708249
407,0.31735692127027887
408,0.30661602924733006
409,0.3030420596325962
410,0.30170386515716563
411,0.29198014242889037
