sample_size,opt_gen_error
276,0.8768447599287811
277,0.8759243075232672
278,0.8765609522013456
279,0.8753543220424798
280,0.2856045503106867
281,0.2856038831044445
282,0.28552963513114926
283,0.28554659606895805
284,0.2856935723119768
285,0.2859632895461732
286,0.28623382448189666
287,0.2861489881413425
288,0.28617720971602423
289,0.2862379619820007
290,0.286404299291401
291,0.28642041214894587
292,0.2863501110816081
293,0.28612872435321623
294,0.2859914522711543
295,0.2859965898989901
296,0.2860014582875435
297,0.28526519632216124
298,0.2849890418626959
299,0.28493772148478974
300,0.28462938904298046
301,0.2848169283795403
302,0.28494469601459677
303,0.28490950608064586
304,0.28486287216117434
305,0.2849787651763154
306,0.284530988607504
307,0.28451215020810466
308,0.28454439050232133
309,0.8771679476838464
310,0.8768588634011492
311,0.8769426308067192
312,0.8771725615681486
313,0.8783249730667055
314,0.8779279053376695
315,0.8771445249440265
316,0.8777636691029859
317,0.8786001308473599
318,0.2862260090275296
319,0.2861163168681632
320,0.2859634984193423
321,0.28577183180493393
322,0.28528499856524
323,0.2852091455348621
324,0.28512829230484915
325,0.28487892511831925
326,0.2848047860530909
327,0.2849006310171735
328,0.2848920572016265
329,0.2848924024821646
330,0.284848761155277
331,0.2850610232773154
332,0.2840201601026735
333,0.28360283367276357
334,0.8754202676064724
335,0.87525511024071
336,0.8753381279267749
337,0.8753717747375055
338,0.875316526287962
339,0.8760421006905738
340,0.8761746330709876
341,0.8762952388804147
342,0.876256053868934
343,0.8761073822472619
344,0.8759513402163993
345,0.8757601555336776
346,0.8751923330480406
347,0.8749908277957377
348,0.8751117839276642
349,0.875350506854866
350,0.8752884225488092
351,0.8753550823219329
352,0.8755484076866005
353,0.8755859700672685
354,0.8754133967766833
355,0.8760846448884999
356,0.876223155800328
357,0.8762288678601399
358,0.8755796765988282
359,0.8755625098617423
360,0.8755217910158648
361,0.8760773109421838
362,0.8760865053126766
363,0.2822935267326059
364,0.28230317687523454
365,0.28206496420820465
366,0.2820438979181339
367,0.28204325177420614
368,0.2820077543142033
369,0.8760523429759484
370,0.8760390656899264
371,0.8757578095140448
372,0.8753287653544322
373,0.8748272297150381
374,0.8752843508250524
375,0.87544987161999
376,0.8752647639828025
377,0.875221443237682
378,0.8755402038673997
379,0.8751644050208486
380,0.8751922228923011
381,0.8742775363031425
382,0.874345693232477
383,0.874212367276811
384,0.8742649588262539
385,0.8745215051076018
386,0.8743306970312172
387,0.8740344145904564
388,0.8741397794593387
389,0.8734389194365125
390,0.8734377936855222
391,0.8734495666510235
392,0.2815329181660036
393,0.28161622500936057
394,0.28168726103922126
395,0.2816487349821201
396,0.2816406944293779
397,0.28164065515487446
398,0.2816411349618648
399,0.2816982190400589
400,0.28178746574304353
401,0.2817313033908139
402,0.2817376945607786
403,0.28182212979739313
404,0.28184471488789575
405,0.2818550202153024
406,0.28225289045541013
407,0.2823442963811993
408,0.28231568069299373
409,0.28240735053863997
410,0.2824235617492957
411,0.2826697326239287
412,0.2826575884427882
413,0.28240097082694204
414,0.2824038340690604
415,0.282451799605373
416,0.28245687908374284
417,0.282453140073658
418,0.28250680757272545
419,0.28252654943968475
420,0.28254993040556337
421,0.2825436920091927
422,0.2826168280173132
423,0.28262292480145396
424,0.28265180568852527
425,0.2826465605951239
426,0.28267340813421027
427,0.28261495350563604
428,0.2827122257066325
429,0.2826933370131791
430,0.28268242275159583
431,0.28266786698927
432,0.282663463074673
433,0.28263951272468485
434,0.2827682023425702
